file_name,set,item_id_or_act_id,item_type,story_id,difficulty_rank,text_to_read,speaker_type,done,usable,notes
,setA,,=== SECTION ===,,,ASSESSOR INSTRUCTION: SYLLABLES/LETTERS — point to each one and ask the speaker to read it aloud. Pause between each. Do not correct them.,,,,
sw-en_setA_SPEAKER_sw-ls-001.wav,setA,sw-ls-001,syllable,,1,ma,all,,,
sw-en_setA_SPEAKER_sw-ls-002.wav,setA,sw-ls-002,syllable,,2,me,all,,,
sw-en_setA_SPEAKER_sw-ls-003.wav,setA,sw-ls-003,syllable,,3,mi,all,,,
sw-en_setA_SPEAKER_sw-ls-004.wav,setA,sw-ls-004,syllable,,4,mo,all,,,
sw-en_setA_SPEAKER_sw-ls-005.wav,setA,sw-ls-005,syllable,,5,mu,all,,,
sw-en_setA_SPEAKER_sw-ls-006.wav,setA,sw-ls-006,syllable,,6,na,all,,,
sw-en_setA_SPEAKER_sw-ls-007.wav,setA,sw-ls-007,syllable,,7,ne,all,,,
sw-en_setA_SPEAKER_sw-ls-008.wav,setA,sw-ls-008,syllable,,8,ni,all,,,
sw-en_setA_SPEAKER_sw-ls-009.wav,setA,sw-ls-009,syllable,,9,no,all,,,
sw-en_setA_SPEAKER_sw-ls-010.wav,setA,sw-ls-010,syllable,,10,nu,all,,,
sw-en_setA_SPEAKER_sw-ls-011.wav,setA,sw-ls-011,syllable,,11,ka,all,,,
sw-en_setA_SPEAKER_sw-ls-012.wav,setA,sw-ls-012,syllable,,12,ke,all,,,
sw-en_setA_SPEAKER_sw-ls-013.wav,setA,sw-ls-013,syllable,,13,ki,all,,,
sw-en_setA_SPEAKER_sw-ls-014.wav,setA,sw-ls-014,syllable,,14,ko,all,,,
sw-en_setA_SPEAKER_sw-ls-015.wav,setA,sw-ls-015,syllable,,15,ku,all,,,
sw-en_setA_SPEAKER_sw-ls-016.wav,setA,sw-ls-016,syllable,,16,wa,all,,,
sw-en_setA_SPEAKER_sw-ls-017.wav,setA,sw-ls-017,syllable,,17,we,all,,,
sw-en_setA_SPEAKER_sw-ls-018.wav,setA,sw-ls-018,syllable,,18,wi,all,,,
sw-en_setA_SPEAKER_sw-ls-019.wav,setA,sw-ls-019,syllable,,19,wo,all,,,
sw-en_setA_SPEAKER_sw-ls-020.wav,setA,sw-ls-020,syllable,,20,wu,all,,,
sw-en_setA_SPEAKER_sw-ls-021.wav,setA,sw-ls-021,syllable,,21,la,all,,,
sw-en_setA_SPEAKER_sw-ls-022.wav,setA,sw-ls-022,syllable,,22,le,all,,,
sw-en_setA_SPEAKER_sw-ls-023.wav,setA,sw-ls-023,syllable,,23,li,all,,,
sw-en_setA_SPEAKER_sw-ls-024.wav,setA,sw-ls-024,syllable,,24,lo,all,,,
sw-en_setA_SPEAKER_sw-ls-025.wav,setA,sw-ls-025,syllable,,25,lu,all,,,
sw-en_setA_SPEAKER_sw-ls-026.wav,setA,sw-ls-026,syllable,,26,sa,all,,,
sw-en_setA_SPEAKER_sw-ls-027.wav,setA,sw-ls-027,syllable,,27,se,all,,,
sw-en_setA_SPEAKER_sw-ls-028.wav,setA,sw-ls-028,syllable,,28,si,all,,,
sw-en_setA_SPEAKER_sw-ls-029.wav,setA,sw-ls-029,syllable,,29,so,all,,,
sw-en_setA_SPEAKER_sw-ls-030.wav,setA,sw-ls-030,syllable,,30,su,all,,,
,setA,,=== SECTION ===,,,ASSESSOR INSTRUCTION: WORDS — point to each word and ask the speaker to read it aloud. Pause between each. Do not correct them.,,,,
sw-en_setA_SPEAKER_sw-w-001.wav,setA,sw-w-001,word,,1,mama,all,,,
sw-en_setA_SPEAKER_sw-w-002.wav,setA,sw-w-002,word,,2,baba,all,,,
sw-en_setA_SPEAKER_sw-w-003.wav,setA,sw-w-003,word,,3,dada,all,,,
sw-en_setA_SPEAKER_sw-w-004.wav,setA,sw-w-004,word,,4,kaka,all,,,
sw-en_setA_SPEAKER_sw-w-005.wav,setA,sw-w-005,word,,5,maji,all,,,
sw-en_setA_SPEAKER_sw-w-006.wav,setA,sw-w-006,word,,6,moto,all,,,
sw-en_setA_SPEAKER_sw-w-007.wav,setA,sw-w-007,word,,7,meza,all,,,
sw-en_setA_SPEAKER_sw-w-008.wav,setA,sw-w-008,word,,8,paka,all,,,
sw-en_setA_SPEAKER_sw-w-009.wav,setA,sw-w-009,word,,9,soko,all,,,
sw-en_setA_SPEAKER_sw-w-010.wav,setA,sw-w-010,word,,10,duka,all,,,
sw-en_setA_SPEAKER_sw-w-011.wav,setA,sw-w-011,word,,11,embe,all,,,
sw-en_setA_SPEAKER_sw-w-012.wav,setA,sw-w-012,word,,12,ndizi,all,,,
sw-en_setA_SPEAKER_sw-w-013.wav,setA,sw-w-013,word,,13,nyumba,all,,,
sw-en_setA_SPEAKER_sw-w-014.wav,setA,sw-w-014,word,,14,jiko,all,,,
sw-en_setA_SPEAKER_sw-w-015.wav,setA,sw-w-015,word,,15,mlango,all,,,
sw-en_setA_SPEAKER_sw-w-016.wav,setA,sw-w-016,word,,16,gari,all,,,
sw-en_setA_SPEAKER_sw-w-017.wav,setA,sw-w-017,word,,17,nguo,all,,,
sw-en_setA_SPEAKER_sw-w-018.wav,setA,sw-w-018,word,,18,kiatu,all,,,
sw-en_setA_SPEAKER_sw-w-019.wav,setA,sw-w-019,word,,19,shule,all,,,
sw-en_setA_SPEAKER_sw-w-020.wav,setA,sw-w-020,word,,20,mtoto,all,,,
sw-en_setA_SPEAKER_sw-w-021.wav,setA,sw-w-021,word,,21,kitabu,all,,,
sw-en_setA_SPEAKER_sw-w-022.wav,setA,sw-w-022,word,,22,sahani,all,,,
sw-en_setA_SPEAKER_sw-w-023.wav,setA,sw-w-023,word,,23,kalamu,all,,,
sw-en_setA_SPEAKER_sw-w-024.wav,setA,sw-w-024,word,,24,kikapu,all,,,
sw-en_setA_SPEAKER_sw-w-025.wav,setA,sw-w-025,word,,25,ndugu,all,,,
sw-en_setA_SPEAKER_sw-w-026.wav,setA,sw-w-026,word,,26,rafiki,all,,,
sw-en_setA_SPEAKER_sw-w-027.wav,setA,sw-w-027,word,,27,chakula,all,,,
sw-en_setA_SPEAKER_sw-w-028.wav,setA,sw-w-028,word,,28,samaki,all,,,
sw-en_setA_SPEAKER_sw-w-029.wav,setA,sw-w-029,word,,29,kikombe,all,,,
sw-en_setA_SPEAKER_sw-w-030.wav,setA,sw-w-030,word,,30,mvua,all,,,
sw-en_setA_SPEAKER_sw-w-031.wav,setA,sw-w-031,word,,31,jua,all,,,
sw-en_setA_SPEAKER_sw-w-032.wav,setA,sw-w-032,word,,32,mwezi,all,,,
sw-en_setA_SPEAKER_sw-w-033.wav,setA,sw-w-033,word,,33,mchezo,all,,,
sw-en_setA_SPEAKER_sw-w-034.wav,setA,sw-w-034,word,,34,mwalimu,all,,,
sw-en_setA_SPEAKER_sw-w-035.wav,setA,sw-w-035,word,,35,simba,all,,,
sw-en_setA_SPEAKER_sw-w-036.wav,setA,sw-w-036,word,,36,ndege,all,,,
sw-en_setA_SPEAKER_sw-w-037.wav,setA,sw-w-037,word,,37,ng'ombe,all,,,
sw-en_setA_SPEAKER_sw-w-038.wav,setA,sw-w-038,word,,38,mbuzi,all,,,
sw-en_setA_SPEAKER_sw-w-039.wav,setA,sw-w-039,word,,39,kuku,all,,,
sw-en_setA_SPEAKER_sw-w-040.wav,setA,sw-w-040,word,,40,asante,all,,,
,setA,,=== SECTION ===,,,"ASSESSOR INSTRUCTION: PARAGRAPHS — show the speaker the whole paragraph and ask them to read it aloud from start to finish, without stopping. Do not correct them mid-read.",,,,
sw-en_setA_SPEAKER_sw-p-001.wav,setA,sw-p-001,paragraph,,1,Leo ni siku ya shule. Nina sare mpya safi. Viatu vyangu ni vipya. Nafurahi kwenda shuleni leo.,all,,,
sw-en_setA_SPEAKER_sw-p-002.wav,setA,sw-p-002,paragraph,,2,Mama anapika kwa moto. Moto unatoa joto kali. Moto unatupa mwanga pia. Sote tunapenda moto jioni.,all,,,
,setA,,=== SECTION ===,,,"ASSESSOR INSTRUCTION: STORIES — show the speaker the whole story and ask them to read it aloud from start to finish, without stopping. Do not correct them mid-read. After they finish, ask the comprehension questions for this story (see the COMPREHENSION QUESTIONS block below — each question shows which story it belongs to).",,,,
sw-en_setA_SPEAKER_sw-s-001.wav,setA,sw-s-001,story,,1,"Jembe lake lilikuwa fupi mno. Mlango wake ulikuwa chini mno. Kitanda chake kilikuwa kifupi mno. Mtu huyu alikuwa mrefu zaidi! Alitengeneza mpini wa jembe mrefu sana. Alitengeneza fremu ndefu za milango. Alitengeneza kitanda kirefu sana. Aliacha nyumba yake na kuishi katika msitu mkubwa. Aliishi kwa miaka mingi, naye alifurahi.",all,,,
sw-en_setA_SPEAKER_sw-s-002.wav,setA,sw-s-002,story,,2,"Tom anabeba tenga la ndizi zilizoiva. Tom anaenda sokoni kuuza ndizi. Lakini hakuna anayenunua ndizi za Tom. ""Ni wanawake pekee ndio wanaouza matunda,"" watu wanasema. Lakini Tom hakati tamaa. Anaita, ""Nunua ndizi zangu tamu!"" Mwanamke mmoja ananunua ndizi zake. Watu wengine wanakuja na kununua ndizi za Tom. Mara, tenga linakuwa tupu, naye Tom anafurahi.",all,,,
,setA,,=== SECTION ===,,,"ASSESSOR INSTRUCTION: COMPREHENSION QUESTIONS — ask each question aloud right after the speaker finishes reading the matching story (each question below shows which story it's for). Do not show the speaker the written question. Record their spoken answer, not a summary of it.",,,,
sw-en_setA_SPEAKER_sw-s-001-q1.wav,setA,sw-s-001-q1,comprehension_question,sw-s-001,1,Jembe la mtu huyu lilikuwa refu au fupi mwanzoni?,all,,,
sw-en_setA_SPEAKER_sw-s-001-q2.wav,setA,sw-s-001-q2,comprehension_question,sw-s-001,2,Kwa nini mtu huyu alitengeneza vitu vipya?,all,,,
sw-en_setA_SPEAKER_sw-s-002-q1.wav,setA,sw-s-002-q1,comprehension_question,sw-s-002,1,Tom alikuwa akiuza nini sokoni?,all,,,
sw-en_setA_SPEAKER_sw-s-002-q2.wav,setA,sw-s-002-q2,comprehension_question,sw-s-002,2,Kwa nini watu hawakutaka kununua ndizi za Tom mwanzoni?,all,,,
